,year,CTY_CODE,CTYNAME,IJAN,IFEB,IMAR,IAPR,IMAY,IJUN,IJUL,IAUG,ISEP,IOCT,INOV,IDEC,IYR,EJAN,EFEB,EMAR,EAPR,EMAY,EJUN,EJUL,EAUG,ESEP,EOCT,ENOV,EDEC,EYR
544,1985,1220,Canada,5319.1,5548.5,6075.3,5976.2,6041.7,6291.8,5073.1,4813.7,6153.8,6077.9,5695.6,5939.7,69006.40000000001,3779.6,3706.6,4246.2,4171.7,4467.5,4570.5,3720.9,3502.0,4030.0,4085.3,3695.7,3275.0,47251.0
545,1986,1220,Canada,5680.7,5659.5,5922.9,5821.1,5922.5,5711.7,5475.6,5224.8,5571.6,5719.0,6681.4,4861.9,68252.7,3999.1,3786.0,3659.2,4057.3,3780.9,3857.5,3172.4,3094.7,4119.4,4175.9,3911.1,3719.0,45332.5
546,1987,1220,Canada,5429.9,5929.3,5986.0,5814.4,5916.0,6100.8,5321.9,5069.0,6094.7,6573.0,6723.1,6126.8,71084.9,4152.3,4762.8,5258.9,4928.3,5055.1,5605.7,4715.0,4165.8,4844.7,5273.1,5511.8,5540.8,59814.30000000001
547,1988,1220,Canada,5973.5,6603.4,7296.5,6842.5,7235.5,7488.0,5736.2,6308.5,6976.6,7338.5,7122.0,6476.8,81398.0,5311.4,5710.4,6696.4,5988.0,6597.3,6373.5,4740.2,5861.4,6159.7,6358.7,6307.2,5517.8,71622.0
548,1989,1220,Canada,7411.2,7190.5,7697.0,7580.9,7984.2,7639.5,6114.4,6825.4,7133.9,7847.2,7717.5,6811.3,87953.0,6101.7,6512.0,7264.1,7027.8,7448.3,6983.3,5172.1,6289.3,6440.9,6976.1,6627.5,5965.8,78808.90000000001
549,1990,1220,Canada,6799.0,6877.7,8275.2,7463.4,8214.6,8299.1,7046.3,7162.2,7722.5,8701.4,7995.1,6823.6,91380.1,6377.5,6749.7,8074.9,7367.6,7933.3,7553.0,6126.6,6767.5,6385.8,7460.1,6916.2,5961.6,83673.8
550,1991,1220,Canada,7220.2,6868.2,7523.0,7844.5,8055.9,7854.6,6906.3,7426.0,7702.5,8636.3,7943.5,7082.9,91063.90000000001,6800.8,6422.5,7008.1,7587.1,7662.1,7422.9,6420.5,6794.2,7318.9,8231.0,7402.7,6079.0,85149.8
551,1992,1220,Canada,7169.6,7653.2,8576.9,8408.7,8479.6,8787.9,7240.8,7888.1,8624.2,9100.3,8464.1,8236.4,98629.8,6921.5,7040.3,8204.3,7826.3,7679.2,8428.6,6877.0,7034.6,7849.7,8009.4,7662.5,7060.9,90594.29999999999
552,1993,1220,Canada,7909.8,8520.3,10173.5,9560.0,9616.3,10094.6,7845.1,8780.9,9717.5,10249.2,9971.5,8777.7,111216.39999999998,6878.4,7746.7,9497.9,8780.6,8791.6,9070.0,7057.9,8327.0,8571.5,8906.2,8910.7,7905.7,100444.2
553,1994,1220,Canada,8612.6,9074.6,10929.7,10356.8,10662.0,11346.0,9058.9,10954.7,11510.7,12049.7,12411.9,11438.3,128405.89999999998,7578.1,8182.6,10409.4,9383.2,10018.2,10187.7,7642.1,9912.4,10219.8,10490.3,10590.1,9824.7,114438.6
